,target,location,aircraft_damage,make,model,number_of_engines,engine_type,weather_conditions,phase_of_flight,Year,Month,Day,injuries,pax_onboard,fatality_percentage,survived,amateur_built
0,2,1725,0,2963,64,1,0,2,CLIMB,1982,6,13,1.0,1.0,0.0,1,No
1,2,7692,0,2963,KR-2,1,0,2,CRUISE,1982,7,1,2.0,2.0,0.0,2,Yes
2,0,4221,0,2963,WINDWAGON,1,0,2,APPROACH,1982,7,16,1.0,1.0,100.0,0,Yes
3,2,12735,0,2963,MIDGET MUSTANG,1,0,2,MANEUVERING,1982,8,21,0.0,1.0,0.0,1,Yes
4,2,11332,2,2963,SKYBOLT,1,0,2,LANDING,1982,8,24,0.0,1.0,0.0,1,Yes
5,2,9901,2,2963,STARDUSTER TOO,1,0,2,TAKEOFF,1982,9,11,2.0,2.0,0.0,2,Yes
6,0,3680,2,2963,HOBBS B8M,1,0,2,APPROACH,1982,10,23,1.0,1.0,100.0,0,Yes
7,2,5824,2,2963,RANS S-9,1,0,2,TAKEOFF,1990,11,2,0.0,1.0,0.0,1,Yes
8,2,3360,2,2963,Unknown,2,5,2,TAKEOFF,2007,9,2,0.0,2.0,0.0,2,No
9,0,10888,0,0,FOCKE-WULF 190,1,0,2,MANEUVERING,1994,6,8,1.0,1.0,100.0,0,Yes
10,2,12544,2,1,D1/LFD-13,1,0,2,CRUISE,1990,5,27,0.0,1.0,0.0,1,Yes
11,0,10668,0,2,KB-2,1,0,2,MANEUVERING,1992,2,4,1.0,1.0,100.0,0,Yes
12,2,7483,0,3,GLASSAIR SH2,1,0,2,TAKEOFF,1992,5,30,0.0,1.0,0.0,1,Yes
13,2,9475,2,4,RANS S-7,1,0,2,TAKEOFF,1994,8,27,1.0,1.0,0.0,1,Yes
14,0,7947,0,5,GENESIS 2,2,5,2,TAKEOFF,1999,6,13,1.0,1.0,100.0,0,No
15,2,8891,0,6,GYROPLANE,1,0,2,TAKEOFF,1989,7,30,0.0,1.0,0.0,1,Yes
16,2,10322,2,7,LONG-EZ,1,0,2,DESCENT,1991,9,27,1.0,1.0,0.0,1,Yes
17,2,11288,2,7,STREAKER,1,0,2,MANEUVERING,2000,9,5,0.0,1.0,0.0,1,Yes
18,2,8935,0,8,ONE DESIGN,1,0,2,MANEUVERING,1999,1,17,0.0,1.0,0.0,1,Yes
19,2,8056,2,9,TITAN TORNADO,1,0,2,CRUISE,1999,5,16,1.0,1.0,0.0,1,Yes
20,2,7947,0,10,QUICKIE Q2,1,0,2,CLIMB,1992,9,20,2.0,2.0,0.0,2,Yes
21,2,13045,2,11,CUBY B,1,0,2,TAKEOFF,1994,7,24,1.0,1.0,0.0,1,Yes
22,2,6555,2,12,ACRO SPORT,1,0,2,TAKEOFF,1993,3,6,0.0,1.0,0.0,1,Yes
23,2,9445,2,13,SA-750,1,0,2,TAKEOFF,1989,8,13,1.0,1.0,0.0,1,Yes
24,2,5907,2,14,AX-9,2,5,2,LANDING,1989,3,11,4.0,5.0,0.0,5,No
25,2,11173,2,14,KITFOX,1,0,2,LANDING,1995,10,10,1.0,1.0,0.0,1,Yes
26,2,3835,2,14,ROTORWAY EXEC-90,1,0,2,LANDING,1999,6,13,0.0,1.0,0.0,1,Yes
27,2,718,0,14,AB,0,5,2,LANDING,1984,7,14,1.0,5.0,0.0,5,No
28,2,4606,0,14,A55,0,5,2,CRUISE,1990,1,21,1.0,1.0,0.0,1,No
29,2,13675,2,14,AB,2,5,2,LANDING,1983,10,8,1.0,6.0,0.0,6,No
30,2,226,2,14,A55,0,5,2,APPROACH,1989,10,8,0.0,3.0,0.0,3,No
31,2,4804,2,14,A55S,2,5,2,LANDING,1984,5,31,1.0,1.0,0.0,1,No
32,2,7093,2,14,A55S,2,5,2,STANDING,2000,3,18,3.0,3.0,0.0,3,No
33,2,13622,0,14,A55S,2,5,2,STANDING,1999,7,3,2.0,2.0,0.0,2,No
34,2,629,2,14,A60S,2,5,2,TAKEOFF,1990,5,27,1.0,5.0,0.0,5,No
35,0,4425,2,14,A55S,2,5,2,DESCENT,1997,12,6,1.0,2.0,50.0,1,No
36,2,11900,2,14,THORPE T-18,1,0,2,TAKEOFF,1994,7,3,1.0,1.0,0.0,1,Yes
37,2,3997,2,14,BOREDOM FIGHTER,1,0,2,APPROACH,1990,5,19,0.0,1.0,0.0,1,Yes
38,0,6269,0,14,SONERAI II,1,0,2,TAKEOFF,1997,11,16,1.0,1.0,100.0,0,Yes
39,2,4285,2,14,A55,0,5,2,LANDING,1982,5,30,0.0,2.0,0.0,2,No
40,2,11496,2,14,UNKNOWN,0,5,1,LANDING,1989,4,27,3.0,4.0,0.0,4,Yes
41,2,188,0,14,A55,0,5,2,LANDING,1986,4,20,1.0,3.0,0.0,3,No
42,2,629,0,14,A-60,2,5,2,LANDING,1988,1,18,3.0,4.0,0.0,4,No
43,2,2476,2,14,A55S,2,5,2,LANDING,1988,6,29,1.0,2.0,0.0,2,No
44,2,899,2,15,QUICKIE Q1,1,0,2,TAKEOFF,1985,12,15,0.0,1.0,0.0,1,Yes
45,0,13503,0,16,STARDUSTER SA300,1,0,2,TAKEOFF,1993,7,4,2.0,2.0,50.0,1,Yes
46,0,9424,0,17,LONG-EZ,1,0,2,CRUISE,1997,10,12,1.0,1.0,100.0,0,Yes
47,2,12434,2,18,BUCCANEER II,1,0,2,TAKEOFF,1994,8,23,1.0,1.0,0.0,1,Yes
48,2,10587,0,19,WACO 10 GXE,1,0,2,TAKEOFF,1994,8,24,2.0,2.0,0.0,2,No
49,2,9475,2,20,BUCCANEER SX B1B-503,1,0,2,TAKEOFF,1991,11,17,1.0,1.0,0.0,1,No
50,2,13169,0,21,PREDATOR 480,1,0,2,TAKEOFF,1985,8,21,1.0,1.0,0.0,1,Yes
51,2,13247,0,21,ULTRA SPORT 254,1,0,2,MANEUVERING,1996,2,20,1.0,1.0,0.0,1,No
52,2,10916,2,22,VELOCITY 173E-RG,1,0,2,LANDING,1998,12,29,0.0,3.0,0.0,3,Yes
53,2,1370,2,23,680,2,0,2,LANDING,1999,10,24,0.0,2.0,0.0,2,No
54,0,2155,0,23,680-FP,2,0,2,TAKEOFF,1985,7,27,1.0,1.0,100.0,0,No
55,2,6103,2,23,500B,2,0,2,LANDING,1987,9,25,0.0,1.0,0.0,1,No
